@relation 'results-weka.filters.unsupervised.attribute.Remove-R6-7,9-10-weka.filters.unsupervised.attribute.Remove-R5'

@attribute Constantinople numeric
@attribute ' Offensive' numeric
@attribute ' Poisoned' numeric
@attribute ' Betrayal' numeric
@attribute ' Result' {'Bayezid LOST','Tamerlane LOST',DRAW}

@data
1,2,1,1,'Bayezid LOST'
1,2,1,1,'Bayezid LOST'
1,2,1,1,'Bayezid LOST'
1,2,1,1,'Bayezid LOST'
1,2,1,1,'Bayezid LOST'
1,2,1,1,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Bayezid LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,0,0,0,'Tamerlane LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Bayezid LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,1,0,0,'Tamerlane LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Bayezid LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
0,2,0,0,'Tamerlane LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Bayezid LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,0,0,0,'Tamerlane LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Bayezid LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,1,0,0,'Tamerlane LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Bayezid LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
1,2,0,0,'Tamerlane LOST'
